Quantity,Designator,Description,Value,Footprint,Supplier Part Number 1,Manufacturer Part Number 1,Supplier 1,Manufacturer 1

"9","C1, C2, C3, C4, C21, C22, C23, C24, C42","0.1µF ±10% 25V Ceramic Capacitor X7R 0603 (1608 Metric)","0.1uF","0603-CAP","311-1341-1-ND","CC0603KRX7R8BB104","DigiKey","Yageo Group"
"12","C5, C7, C9, C11, C13, C15, C17, C19, C37, C38, C39, C40","0.18µF ±10% 16V Ceramic Capacitor X7R 0603 (1608 Metric)","0.18uF","0603-CAP","311-4066-1-ND","CC0603KRX7R7BB184","DigiKey","Yageo Group"
"8","C6, C8, C10, C12, C14, C16, C18, C20","10000pF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)","10nF","0603-CAP","311-1085-1-ND","CC0603KRX7R9BB103","DigiKey","Yageo Group"
"3","C25, C32, C36","4.7µF ±10% 25V Ceramic Capacitor X5R 0603 (1608 Metric)","4.7uF","0603-CAP","1276-1900-1-ND","CL10A475KA8NQNC","DigiKey","Samsung Electro-Mechanics"
"2","C26, C29","0.47µF ±10% 16V Ceramic Capacitor X7R 0603 (1608 Metric)","0.47uF","0603-CAP","1276-1062-1-ND","CL10B474KO8NNNC","DigiKey","Samsung Electro-Mechanics"
"8","C27, C28, C30, C31, C33, C34, C35, C41","1µF ±10% 10V Ceramic Capacitor X5R 0603 (1608 Metric)","1uF","0603-CAP","1276-1182-1-ND","CL10A105KP8NNNC","DigiKey","Samsung Electro-Mechanics"
"1","CON1","15 Position D-Sub, High Density Receptacle, Female Sockets Connector","","ICD15S13E6GX00LF","609-2801-ND","ICD15S13E6GX00LF","DigiKey","Amphenol Communications Solutions"
"2","CON2, CON3","6 Position Wire to Board Terminal Block Horizontal with Board 0.197"" (5.00mm) Through Hole","","1935200","277-1581-ND","1935200","DigiKey","Phoenix Contact"
"8","J1, J2, J3, J4, J5, J6, J7, J8","CONN BNC JACK STR 75 OHM PCB","","0731711900","WM5517-ND","73171-1900","DigiKey","Molex"
"8","JMP1, JMP2, JMP3, JMP4, JMP5, JMP6, JMP7, JMP8","CONN JUMPER SHORTING .100"" GOLD","","","S9337-ND","QPC02SXGN-RC","DigiKey","Sullins"
"8","JP1, JP2, JP3, JP4, JP5, JP6, JP7, JP8","Connector Header Through Hole 3 position 0.100"" (2.54mm)","","PIN_HEADER_1X3","SAM8995-ND","TSW-103-07-F-S","DigiKey","Samtec"
"12","R6, R8, R14, R16, R22, R24, R30, R32, R38, R39, R40, R41","10 kOhms ±0.1% 0.2W, 1/5W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200, Pulse Withstanding Thick Film","10K","0603-RES","P20086CT-ND","ERJ-PB3B1002V","DigiKey","Panasonic"
"8","R7, R9, R15, R17, R23, R25, R31, R33","120 Ohms ±1% 0.1W, 1/10W Chip Resistor 0603 (1608 Metric) Moisture Resistant Thick Film","120","0603-RES","311-120HRCT-ND","RC0603FR-07120RL","DigiKey","Yageo Group"
"8","R10, R12, R18, R20, R26, R28, R34, R36","7.5 kOhms ±0.1% 0.2W, 1/5W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200, Pulse Withstanding Thick Film","7.5K","0603-RES","P20072CT-ND","ERJ-PB3B7501V","DigiKey","Panasonic"
"8","R11, R13, R19, R21, R27, R29, R35, R37","30 kOhms ±0.1% 0.2W, 1/5W Chip Resistor 0603 (1608 Metric) Automotive AEC-Q200, Pulse Withstanding Thick Film","30K","0603-RES","P20138CT-ND","ERJ-PB3B3002V","DigiKey","Panasonic"
"1","S1","Tactile Switch SPST-NO Top Actuated Surface Mount","","PTS647SK38SMTR2LFSCT-ND","PTS647SK38SMTR2LFSCT-ND","","Digi-Key",""
"1","S2","SWITCH SLIDE DIP SPST 25MA 24V","","SDA06H0SBR","CKN9495CT-ND","SDA06H0SBR","DigiKey","C&K Components"
"4","SCREW1, SCREW2, SCREW3, SCREW4","#4-40 Pan Head Machine Screw Phillips Drive Stainless Steel","","","36-9900-ND","9900","DigiKey","Keystone"
"4","STANDOFF1, STANDOFF2, STANDOFF3, STANDOFF4","Hex Standoff Threaded #4-40 Aluminum 0.500"" (12.70mm) 1/2""","","","1772-1993-ND","2057-440-AL-7","DigiKey","RAF Hardware"
"5","TP1, TP2, TP3, TP4, TP5","Test Point","","RCU-0C","A106145CT-ND","1625854-3","DigiKey","TE Connectivity"
"2","U1, U2","General Purpose Digital Isolator 3750Vrms 3 Channel 150Mbps 75kV/µs CMTI 16-SOIC (0.295"", 7.50mm Width)","","SOIC127P1030X265-16N","ADUM130E1BRWZ-ND","","Digi-Key",""
"2","U3, U4","General Purpose Amplifier 4 Circuit Rail-to-Rail 14-SOIC","","SOIC127P600X175-14N","296-43159-1-ND","OPA4192IDR","DigiKey","Texas Instruments"
"2","U5, U6","19V Clamp 1A (8/20µs) Ipp TVS Diode Surface Mount 8-SO. No common node.","","SOIC127P600X175-8N-B","1655-1701-1-ND","","Digi-Key",""
"1","U7","Isolated Module DC DC Converter 2 Output 15V -15V   34mA, 34mA 4.5V - 5.5V Input","","PDME1-S5-D15-S","102-6323-ND","","Digi-Key",""
"1","U8","+12 Linear Voltage Regulator IC  1 Output  500mA DPAK","","DPAK229P991X238-3N","MC78M12BDTRKGOSCT-ND","MC78M12BDTRKG","DigiKey","onsemi"
