Comment,Description,Designator,Footprint,LibRef,Quantity,Supplier Part Number 1

"2.2UF","CAP CER 2.2UF 35V X5R 0603","C1, C2, C3, C4, C5, C6, C9, C10, C11","0603_CAP","GRM188R6YA225MA12D","9","490-10486-1-ND"
"1000u","Cap Aluminum 1000uF 35V 20% (12.5 X 25mm) Radial 5mm 3190mA 7000 hr 105C Ammo Pack","C7, C8","CAP_PAN_12.5X25_PAN","EEU-FM1V102B","2","P19719CT-ND"
"PJ-037AH","CONN PWR JACK 2X5.5MM SOLDER","CONN1","CUI_PJ-037AH","PJ-037AH","1","CP-037AH-ND"
"ICD15S13E6GV00LF","Conn High Density D-Sub SKT 15 POS 2.28mm Solder RA Thru-Hole 15 Terminal 1 Port","CONN2","ICD15S13E6GV00LF","ICD15S13E6GV00LF","1","609-2802-ND"
"RJSAE-5385-02","CONN MOD JACK 8P8C R/A SHIELDED","CONN3","CONN_RJSAE538502_AMP","RJSAE-5385-02","1","RJSAE-5385-02-ND"
"530002B02500G","Heat Sink Passive TO-220 Radial Thru-Hole 2.6C/W Black Anodized","HS1, HS2, HS3","530002","530002B02500G","3","HS380-ND"
"1935161","Conn Terminal Blocks 2 POS 5mm Solder ST Thru-Hole 16A","J1, J2, J3, J4, J5, J6, J7","PHOENIX_1935161","1935161","7","277-1667-ND"
"100u","FIXED IND 100UH 5.3A 118 MOHM","L1, L2, L3","FP-PA4344_104NLT-MFG","PA4344.104NLT","3","553-3011-1-ND"
"MOUNT_HOLE, TitleBlockWEMPEC","MOUNTING HOLE, [NoValue]","MH1, MH2, MH3, MH4, MH5, TitleBlockWEMPEC1, TitleBlockWEMPEC2_U_Half_bridge_load1, TitleBlockWEMPEC2_U_Half_bridge_load2, TitleBlockWEMPEC2_U_Half_bridge_load3, TitleBlockWEMPEC3","MOUNTING_HOLE, [NoValue]","MOUNT_HOLE, TitleBlockWEMPEC","10",""
"5-1634503-1","CONN BNC JACK STR 50 OHM PCB","Q1, Q2, Q3","5-1634503-1","5-1634503-1","3","A97581-ND"
"2.2K","Res Thick Film 0603 2.49K Ohm 1% 1/4W ±100ppm/°C Molded SMD Paper T/R","R1, R2","0603_RES","RCS06032K49FKEA","2","541-RCS06032K49FKEACT-ND"
"1.1K","RES SMD 1.1K OHM 1% 1/4W 0603","R3, R4","0603_RES","RCS06031K10FKEA","2","541-RCS06031K10FKEACT-ND"
"1R","RES SMD 1 OHM 1% 1/10W 0603","R5, R6, R7","0603_RES","RCG06031R00FKEA","3","541-1776-1-ND"
"150m","Resistor; Wirewound; Res 0.15 Ohms; Pwr-Rtg 5 W; Tol 1%; Axial; Silicone; Cur-Sense","Rsense1, Rsense2, Rsense3","RES_15_OHM","15FR150E","3","15FR150E-ND"
"Screw-4-40","","SCREW1, SCREW2, SCREW3, SCREW4, SCREW5","","Screw-4-40","5","KEY1046-ND"
"Standoff-4-40","","STANDOFF1, STANDOFF2, STANDOFF3, STANDOFF4, STANDOFF5","","Standoff-4-40","5","36-1656-ND"
"Test Point","Conn Test Point SKT 1 POS ST Thru-Hole 1 Port","TP1-Ia, TP2_Ib, TP3-Ic, TP4-Vdc","TP_1.6MM","Test Point 36-5005ND","4","36-5005-ND"
"IXDN614CI","14-Ampere Low-Side Ultrafast MOSFET Driver 5-Lead TO-220","U1, U3, U5","IXYS_TO-220-5_IXY","IXDN614CI","3","IXDN614CI-ND"
"INA143U","SP Amp Difference Amplifier Single ±18V/36V 8-Pin SOIC Tube","U2, U4, U6","SOIC127P599X175-8N","INA143U","3","INA143U-ND"
