Supplier Part Number 1,Quantity,Comment,Description,Designator,Footprint,LibRef
,,,,,,
P19719CT-ND,2,1000u,Cap Aluminum 1000uF 35V 20% (12.5 X 25mm) Radial 5mm 3190mA 7000 hr 105C Ammo Pack,"C1, C2",CAP_PAN_12.5X25_PAN,EEU-FM1V102B
490-10486-1-ND,9,2.2UF,CAP CER 2.2UF 35V X5R 0603,"C3_U_Half_bridge_load1, C3_U_Half_bridge_load2, C3_U_Half_bridge_load3, C4_U_Half_bridge_load1, C4_U_Half_bridge_load2, C4_U_Half_bridge_load3, C5_U_Half_bridge_load1, C5_U_Half_bridge_load2, C5_U_Half_bridge_load3",0603_CAP,GRM188R6YA225MA12D
CP-037AH-ND,1,PJ-037AH,CONN PWR JACK 2X5.5MM SOLDER,CONN1,CUI_PJ-037AH,PJ-037AH
609-2802-ND,1,ICD15S13E6GV00LF,Conn High Density D-Sub SKT 15 POS 2.28mm Solder RA Thru-Hole 15 Terminal 1 Port,CONN2,ICD15S13E6GV00LF,ICD15S13E6GV00LF
RJSAE-5385-02-ND,1,RJSAE-5385-02,CONN MOD JACK 8P8C R/A SHIELDED,CONN3,CONN_RJSAE538502_AMP,RJSAE-5385-02
HS380-ND,3,530002B02500G,Heat Sink Passive TO-220 Radial Thru-Hole 2.6C/W Black Anodized,"HS1, HS2, HS3",530002,530002B02500G
277-1667-ND,7,1935161,Conn Terminal Blocks 2 POS 5mm Solder ST Thru-Hole 16A,"J1, J2_U_Half_bridge_load1, J2_U_Half_bridge_load2, J2_U_Half_bridge_load3, J3_U_Half_bridge_load1, J3_U_Half_bridge_load2, J3_U_Half_bridge_load3",PHOENIX_1935161,1935161
553-3011-1-ND,3,100u,FIXED IND 100UH 5.3A 118 MOHM,"L1_U_Half_bridge_load1, L1_U_Half_bridge_load2, L1_U_Half_bridge_load3",FP-PA4344_104NLT-MFG,PA4344.104NLT
A97581-ND,3,5-1634503-1,CONN BNC JACK STR 50 OHM PCB,"Q1_U_Half_bridge_load1, Q1_U_Half_bridge_load2, Q1_U_Half_bridge_load3",5-1634503-1,5-1634503-1
RCS06032K20FKEA,2,2.2K,RES SMD 2.2K OHM 1% 1/4W 0603,"R1, R2",0603_RES,RCS06032K49FKEA
541-RCS06031K10FKEACT-ND,2,1.1K,RES SMD 1.1K OHM 1% 1/4W 0603,"R3, R4",0603_RES,RCS06031K10FKEA
541-1776-1-ND,3,1R,RES SMD 1 OHM 1% 1/10W 0603,"R5_U_Half_bridge_load1, R5_U_Half_bridge_load2, R5_U_Half_bridge_load3",0603_RES,RCG06031R00FKEA
15FR150E-ND,3,150m,Resistor; Wirewound; Res 0.15 Ohms; Pwr-Rtg 5 W; Tol 1%; Axial; Silicone; Cur-Sense,"Rsense1_U_Half_bridge_load1, Rsense1_U_Half_bridge_load2, Rsense1_U_Half_bridge_load3",RES_15_OHM,15FR150E
KEY1046-ND,5,Screw-4-40,,"SCREW1, SCREW2, SCREW3, SCREW4, SCREW5",,Screw-4-40
36-1656-ND,5,Standoff-4-40,,"STANDOFF1, STANDOFF2, STANDOFF3, STANDOFF4, STANDOFF5",,Standoff-4-40
36-5005-ND,15,Test Point,Conn Test Point SKT 1 POS ST Thru-Hole 1 Port,"TP1, TP2, TP3, TP4_U_Half_bridge_load1, TP4_U_Half_bridge_load2, TP4_U_Half_bridge_load3, TP5_U_Half_bridge_load1, TP5_U_Half_bridge_load2, TP5_U_Half_bridge_load3, TP6_U_Half_bridge_load1, TP6_U_Half_bridge_load2, TP6_U_Half_bridge_load3, TP7_U_Half_bridge_load1, TP7_U_Half_bridge_load2, TP7_U_Half_bridge_load3",TP_1.6MM,Test Point 36-5005ND
IXDN614CI-ND,3,IXDN614CI,14-Ampere Low-Side Ultrafast MOSFET Driver 5-Lead TO-220,"U1_U_Half_bridge_load1, U1_U_Half_bridge_load2, U1_U_Half_bridge_load3",IXYS_TO-220-5_IXY,IXDN614CI
INA143U-ND,3,INA143U,SP Amp Difference Amplifier Single ±18V/36V 8-Pin SOIC Tube,"U2_U_Half_bridge_load1, U2_U_Half_bridge_load2, U2_U_Half_bridge_load3",SOIC127P599X175-8N,INA143U
