RefDes,Name,Value,Manufacturer,Manufacturer Part Number,Digi-Key Part Number,Quantity,Description,Comments
J2,To ,,TE Connectivity AMP Connectors,216811-1,A123145-ND,3,CONN MOD JACK 8P8C SHIELDED,
J1,2.1mm Barrel Jack,10V,Adafruit Industries LLC,3643,1528-2553-ND,1,2.1MM DC POWER JACK WITH ROCKER,
R1,RL1,1.5,Vishay Dale,RLR05C2202GSB14,1135-1097-ND,3,RES 22K OHM 2% 1/8W AXIAL,
U1,,,Texas Instruments,UCC27531DBVR,296-35581-2-ND,3,IC GATE DRVR IGBT/MOSFET SOT23-6,
U01,,,Texas Instruments,INA143UAG4,INA143UAG4-ND,3,IC OPAMP DIFF 150KHZ 8SOIC,
C3,,1u,Vishay Vitramon,VJ3640Y334KXGAT8R,VJ3640Y334KXGAT8R-ND,6,CAP CER 0.33UF 1KV X7R 3640,
J5,,,METZ CONNECT USA Inc.,31169103,1849-1358-ND,2,"SCREW TYPE, TERMINAL BLOCK, VERT",
C1,,2.7mF,Illinois Capacitor,158CKR035M,158CKR035M-ND,1,CAP ALUM 1500UF 20% 35V T/H,
L3,,100uH,Bourns Inc.,5508,5508-ND,3,FIXED INDUCTOR 5UH 14A 9 MOHM TH,
R4,Rsense,0.4,Vishay Dale,RW80UR500FB12,RW80UR500FB12-ND,3,RESISTOR 0.5 OHM 2W AXIAL,
NA1,,1,TubeDepot,261-1.0-RC,2197-261-1.0-RC-ND,6,1W METAL OXIDE PWR RESISTOR 1,
U2,,,Texas Instruments [CI],UCC27531DBVR,#NAME?,3,IC GATE DRVR IGBT/MOSFET SOT23-6,
