Quantity,Supplier Part Number 1,Designator
1,YAG3628DKR-ND,R12
1,YAG3582DKR-ND,R49
24,YAG3561DKR-ND,"R13, R19, R27, R28, R29, R31, R32, R52, R57A, R57B, R57C, R57D, R58A, R58B, R58C, R58D, R59A, R59B, R59C, R59D, R60A, R60B, R60C, R60D"
12,TC4468COE-ND,"U12A, U12B, U12C, U12D, U12E, U12F, U15A, U15B, U15C, U15D, U15E, U15F"
1,SRP1770TA-101MDKR-ND,L1
16,SMAJ22CABDKR-ND,"D5A, D5B, D5C, D5D, D6A, D6B, D6C, D6D, D9A, D9B, D9C, D9D, D10A, D10B, D10C, D10D"
1,SI4946CDY-T1-GE3DKR-ND,Q9
2,RMCF0603FT60K4CT-ND,"R4, R6"
2,RMCF0603FT49K9DKR-ND,"R2, R30"
1,RMCF0603FT40K2CT-ND,R7
1,RMCF0603FT3M92CT-ND,R5
2,REF3020AIDBZTDKR-ND,"U19A, U19B"
1,RB521S30T1GOSTR-ND,D2
5,P240HDKR-ND,"R10, R11, R14, R15, R16"
9,P10.0KHDKR-ND,"R39A, R39B, R43, R44, R45, R47, R48, R50, R51"
4,P10.0KHCT-ND,"R17, R18, R21, R22"
1,P5.1KDBDKR-ND,R56
1,P1.00KHDKR-ND,R42
10,P0.0GDKR-ND,"R1, R23, R24, R25, R26A, R26B, R26C, R26D, R46, R53"
1,MAX3098EACSE+-ND,U5
1,LTC4365CTS8#TRMPBFCT-ND,U18
2,LTC2320CUKG-14#PBF-ND,"U1, U2"
1,LT1764EQ-3.3#PBF-ND,U39
2,LT1764EQ-1.8#PBF-ND,"U37A, U37B"
2,LT1529CQ-5#PBF-ND,"U40A, U40B"
8,INA2143UA-ND,"U47A, U47B, U47C, U47D, U48A, U48B, U48C, U48D"
3,F2895TR-ND,"D1, D7, D8"
1,F2895DKR-ND,D3
3,DMN65D8L-7DITR-ND,"Q6, Q7, Q8"
5,DMN65D8L-7DIDKR-ND,"Q1, Q2, Q3, Q4, Q5"
1,CT1942MST-ND,SW2
1,AE10921-ND,CON5
2,ADP7182AUJZ-R7-ND,"U42A, U42B"
2,ADP7118AUJZ-R7-ND,"U41A, U41B"
7,ADG3308BRUZ-ND,"U4, U13A, U13B, U13C, U13D, U13E, U13F"
4,ADA4522-4ARUZ-RLCT-ND,"U46A, U46B, U46C, U46D"
1,A115463-ND,CON1
