Quantity,Digi-Key Part Number,Customer Reference
10,YAG3628CT-ND,R12
10,YAG3582CT-ND,R49
26,311-100HRCT-ND,"R13, R19, R27, R28, R29, R31, R32, R52, R57A, R5"
14,TC4468COE-ND,"U12A, U12B, U12C, U12D, U12E, U12F, U15A, U15B,"
3,SRP1770TA-101MCT-ND,L1
18,SMAJ22CABCT-ND,"D5A, D5B, D5C, D5D, D6A, D6B, D6C, D6D, D9A, D9B"
3,SI4946CDY-T1-GE3CT-ND,Q9
4,P49.9KHCT-ND,"R2, R30"
3,P40.2KHCT-ND,R7
10,RMCF0603FT3M92CT-ND,R5
4,REF3020AIDBZTCT-ND,"U19A, U19B"
3,1727-6493-1-ND,D2
10,P240HCT-ND,"R10, R11, R14, R15, R16"
10,P10.0KHCT-ND,"R17, R18, R21, R22"
3,P5.1KDBCT-ND,R56
3,P1.00KHCT-ND,R42
12,P0.0GCT-ND,"R1, R23, R24, R25, R26A, R26B, R26C, R26D, R46,"
2,MAX3098EACSE+-ND,U5
3,LTC4365CTS8#TRMPBFCT-ND,U18
4,LTC2320IUKG-14#PBF-ND,"U1, U2"
2,LT1764AEQ-3.3#TRPBFCT-ND,U39
3,LT1764EQ-1.8#PBF-ND,"U37A, U37B"
3,LT1529CQ-5#PBF-ND,"U40A, U40B"
10,INA2143UA-ND,"U47A, U47B, U47C, U47D, U48A, U48B, U48C, U48D"
5,F2895CT-ND,"D1, D7, D8"
3,F2895CT-ND,D3
3,CT1942MST-ND,SW2
3,AE10921-ND,CON5
4,LT1964ES5-SD#TRPBFCT-ND,"U42A, U42B"
4,ADP7118AUJZ-R7CT-ND,"U41A, U41B"
9,ADG3308BRUZ-ND,"U4, U13A, U13B, U13C, U13D, U13E, U13F"
5,ADA4522-4ARUZ-RLCT-ND,"U46A, U46B, U46C, U46D"
2,A115463-ND,CON1
78,A106145CT-ND,"TP1A, TP1B, TP1C, TP1D, TP2A, TP2B, TP2C, TP2D,"
4,A97799CT-ND,"CON11, CON12"
3,1727-4560-1-ND,U34
2,1286-1192-ND,CON9
3,1276-6504-1-ND,C171
13,1276-1192-1-ND,"C19, C157A, C157B, C158A, C158B, C161, C162, C16"
17,1276-1119-1-ND,"C3, C8, C13, C17, C20, C21, C22, C26, C29, C30,"
129,478-3724-1-ND,"C2, C4, C5, C7, C9, C10, C12, C14, C16, C18, C25"
6,1115FFE-ND,"CON7, CON8A, CON8B, CON8C, CON8D"
3,945-2987-ND,"U3, U14"
10,732-5316-ND,"JP2, JP3, JP4, JP5, JP8, JP11, JP16"
10,732-5315-ND,"JP1, JP9, JP10, JP12, JP13, JP14"
3,732-2215-1-ND,L2
10,709-1046-1-ND,"C87, C105, C109, C110, C112, C113"
3,609-3391-ND,CON13
4,609-3390-ND,"CON15, CON16"
3,609-3243-ND,CON10
3,609-3218-ND,CON14
2,555-1311-ND,U17
5,493-12786-1-ND,"C102, C103, C104"
3,493-2203-1-ND,C101
3,492-1243-1-ND,LED4
13,490-10486-1-ND,"C165A, C165B, C166A, C166B, C167A, C167B, C168A,"
18,399-9350-1-ND,"C181A, C181B, C181C, C181D, C182A, C182B, C182C,"
4,450-1662-ND,"SW1, SW3"
5,490-10728-1-ND,"C88, C115, C116"
3,445-7743-1-ND,C170
7,445-3919-1-ND,"C106, C107, C108, C111, C114"
2,380-1110-ND,CON6
3,336-3692-ND,U44
10,311-330HRCT-ND,"R54, R55"
4,P180KHCT-ND,"R41A, R41B"
10,311-115KHRCT-ND,"R38A, R38B"
3,P23.7KHCT-ND,R3
4,P16.0KHCT-ND,"R40A, R40B"
3,296-34943-1-ND,U20
3,296-29537-1-ND,U43
4,296-18593-1-ND,"U6, U9"
6,296-16845-1-ND,"U7, U8, U10, U11"
18,296-16845-1-ND,"U16A, U16B, U16C, U16D, U16E, U16F, U16G, U16H,"
5,277-1667-ND,"CON2, CON3, CON4"
3,160-2212-1-ND,LED7
4,160-1448-1-ND,"LED1, LED5"
3,160-1447-1-ND,LED2
4,160-1446-1-ND,"LED3, LED6"
10,RMCF0603FT60K4CT-ND,"R4, R6"
11,P10.0KHCT-ND,"R39A, R39B, R43, R44, R45, R47, R48, R50, R51"
10,DMN6140L-13DICT-ND,"Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8"
100,1276-6524-1-ND,"C23, C42, C47, C53, C61, C62, C65, C66, C69, C70"
11,311-1069-1-ND,"C1, C6, C11, C15, C24, C31, C37, C43, C48"
