Altium Designer Pick and Place Locations
C:\Users\npetersen2\Documents\GitHub\AMDC-Hardware\altium\Project Outputs for AMDC\Pick Place for PCB_v3.txt

========================================================================================================================
File Design Information:

Date:       27/02/19
Time:       14:43
Revision:   b61f8de1485114937360ea6b4c883aa555ebafbd
Variant:    No variations
Units used: mil

Origin (0,0): bottom-left corner of board

Designator Comment                        Layer       Footprint             Center-X(mil) Center-Y(mil) Rotation Description                                                                                      
CON13      PIN_2x4                        TopLayer    PIN_HEADER_2x4        14150.000     3185.000      180      ""                                                                                               
CON1       5569257-1                      TopLayer    5569257-1             15789.665     643.000       360      "CONN MOD JACK 8P8C R/A SHIELDED"                                                                
U20        TPS22965DSGT                   TopLayer    8-WFDFN_Exposed_Pad   2000.000      3150.000      0        "IC LOAD SWITCH 6A 8WSON"                                                                        
CON16      PIN_2x2                        TopLayer    PIN_HEADER_2x2        15760.000     4880.000      90       ""                                                                                               
CON15      PIN_2x2                        TopLayer    PIN_HEADER_2x2        11130.000     4436.063      90       ""                                                                                               
U48D       INA2143UA                      BottomLayer SOIC127P600X175-14N   15904.567     3083.598      180      "IC OPAMP DIFF 150KHZ 14SOIC"                                                                    
MH10       MOUNT_HOLE                     TopLayer    MOUNTING_HOLE         14225.000     1715.000      0        "MOUNTING HOLE"                                                                                  
U47A       INA2143UA                      BottomLayer SOIC127P600X175-14N   15259.488     1976.908      0        "IC OPAMP DIFF 150KHZ 14SOIC"                                                                    
C48        Capacitor                      TopLayer    0603-CAP              2070.000      3055.000      360      Capacitor                                                                                        
C47        Capacitor                      TopLayer    0603-CAP              2000.000      3235.000      180      Capacitor                                                                                        
SW2        194-2MST                       TopLayer    194-2MST              10085.000     197.520       180      "SWITCH PIANO DIP SPST 50MA 24V"                                                                 
MH11       MOUNT_HOLE                     TopLayer    MOUNTING_HOLE         14175.000     3640.000      0        "MOUNTING HOLE"                                                                                  
U48C       INA2143UA                      BottomLayer SOIC127P600X175-14N   15895.000     1981.063      180      "IC OPAMP DIFF 150KHZ 14SOIC"                                                                    
U47D       INA2143UA                      BottomLayer SOIC127P600X175-14N   16315.590     3084.082      0        "IC OPAMP DIFF 150KHZ 14SOIC"                                                                    
U47C       INA2143UA                      BottomLayer SOIC127P600X175-14N   16306.023     1981.547      0        "IC OPAMP DIFF 150KHZ 14SOIC"                                                                    
U46D       ADA4522-4                      BottomLayer TSSOP-14              16114.567     3506.484      270      ""                                                                                               
U46C       ADA4522-4                      BottomLayer TSSOP-14              16105.000     2403.949      270      ""                                                                                               
R60D       Resistor                       BottomLayer 0603-RES              15879.567     3609.791      360      Resistor                                                                                         
R60C       Resistor                       BottomLayer 0603-RES              15870.000     2507.256      360      Resistor                                                                                         
R59D       Resistor                       BottomLayer 0603-RES              15879.567     3394.397      360      Resistor                                                                                         
R59C       Resistor                       BottomLayer 0603-RES              15870.000     2291.863      360      Resistor                                                                                         
R58D       Resistor                       BottomLayer 0603-RES              16346.102     3394.397      180      Resistor                                                                                         
R58C       Resistor                       BottomLayer 0603-RES              16336.535     2291.863      180      Resistor                                                                                         
R57D       Resistor                       BottomLayer 0603-RES              16346.102     3609.791      180      Resistor                                                                                         
R57C       Resistor                       BottomLayer 0603-RES              16336.535     2507.256      180      Resistor                                                                                         
C188D      Capacitor                      BottomLayer 0603-CAP              15970.102     3707.535      360      Capacitor                                                                                        
C188C      Capacitor                      BottomLayer 0603-CAP              15960.535     2605.000      360      Capacitor                                                                                        
C187D      Capacitor                      BottomLayer 0603-CAP              16256.102     3707.535      180      Capacitor                                                                                        
C187C      Capacitor                      BottomLayer 0603-CAP              16246.535     2605.000      180      Capacitor                                                                                        
C186D      Capacitor                      BottomLayer 0603-CAP              15879.567     3539.791      180      Capacitor                                                                                        
C186C      Capacitor                      BottomLayer 0603-CAP              15870.000     2437.256      180      Capacitor                                                                                        
C185D      Capacitor                      BottomLayer 0603-CAP              15879.567     3466.484      360      Capacitor                                                                                        
