Altium Designer Pick and Place Locations
C:\Users\Nathan\Documents\GitHub\AMDC-Hardware\altium\Project Outputs for AMDC\Pick Place for PCB_v4.txt

========================================================================================================================
File Design Information:

Date:       29/01/20
Time:       13:28
Revision:   0d508a363b177f8dbbefb5c8a275c25c40fe56db
Variant:    No variations
Units used: mil

Designator Comment              Layer       Footprint               Center-X(mil) Center-Y(mil) Rotation Description                                                                                      
U27        CAT25128VI-GT3       BottomLayer SOIC127P600X175-8N      3159.659      4185.366      180      "IC EEPROM 128K SPI 20MHZ 8SOIC"                                                                 
C107       Capacitor            BottomLayer 0603-CAP                3159.659      4365.000      180      Capacitor                                                                                        
C106       Capacitor            BottomLayer 0603-CAP                4407.500      4749.879      360      Capacitor                                                                                        
C105       Capacitor            TopLayer    0603-CAP                4643.944      2936.543      180      Capacitor                                                                                        
C104       Capacitor            TopLayer    0603-CAP                3668.693      2947.531      180      Capacitor                                                                                        
C90        Capacitor            BottomLayer 0603-CAP                5299.661      3250.000      180      Capacitor                                                                                        
C89        Capacitor            BottomLayer 0603-CAP                5130.000      4955.000      180      Capacitor                                                                                        
C87        Capacitor            BottomLayer 0603-CAP                4649.512      3660.000      360      Capacitor                                                                                        
C83        Capacitor            BottomLayer 0603-CAP                2855.000      4055.000      180      Capacitor                                                                                        
R50        Resistor             TopLayer    0603-RES                5577.806      6899.528      360      Resistor                                                                                         
CON9       1981584-1            TopLayer    1981584-1               4566.876      6892.342      180      "CONN RCPT MICRO USB TYPE AB"                                                                    
R91        Resistor             BottomLayer 0603-RES                6590.000      6451.890      270      Resistor                                                                                         
R90        Resistor             BottomLayer 0603-RES                6590.000      6151.667      270      Resistor                                                                                         
R89        Resistor             BottomLayer 0603-RES                6590.000      5829.278      270      Resistor                                                                                         
R88        Resistor             BottomLayer 0603-RES                6590.000      5541.535      270      Resistor                                                                                         
R87        Resistor             BottomLayer 0603-RES                6712.008      6151.667      90       Resistor                                                                                         
R86        Resistor             BottomLayer 0603-RES                6712.008      6452.677      90       Resistor                                                                                         
R85        Resistor             BottomLayer 0603-RES                6712.008      5541.535      90       Resistor                                                                                         
R84        Resistor             BottomLayer 0603-RES                6712.008      5829.278      90       Resistor                                                                                         
C64        Capacitor            BottomLayer 0603-CAP                1336.386      4900.748      270      Capacitor                                                                                        
R57        Resistor             TopLayer    1206-RES                6490.000      6845.000      270      Resistor                                                                                         
C79B       Capacitor            TopLayer    0603-CAP                5544.342      5620.463      180      Capacitor                                                                                        
C79A       Capacitor            TopLayer    0603-CAP                5544.342      5406.968      180      Capacitor                                                                                        
C77B       Capacitor            TopLayer    0603-CAP                5544.342      6047.452      180      Capacitor                                                                                        
C77A       Capacitor            TopLayer    0603-CAP                5544.342      5833.957      180      Capacitor                                                                                        
U23F       TC4468               BottomLayer SOIC16_N_-_wide         1315.000      2333.465      270      "IC MOSFET DVR QUAD AND 16SOIC"                                                                  
R83        Resistor             TopLayer    0603-RES                1973.465      3497.244      90       Resistor                                                                                         
R82        Resistor             TopLayer    1206-RES                5140.000      5985.472      180      Resistor                                                                                         
R81        Resistor             TopLayer    1206-RES                4980.000      5425.000      270      Resistor                                                                                         
R80        Resistor             TopLayer    1206-RES                4325.000      5985.472      360      Resistor                                                                                         
R79        Resistor             TopLayer    1206-RES                6546.641      5045.000      90       Resistor                                                                                         
R78        Resistor             TopLayer    1206-RES                6443.307      5045.000      90       Resistor                                                                                         
R77        Resistor             TopLayer    1206-RES                6335.000      6845.394      270      Resistor                                                                                         
R76        Resistor             TopLayer    1206-RES                6753.307      5045.000      90       Resistor                                                                                         
R75        Resistor             TopLayer    1206-RES                6649.974      5045.000      90       Resistor                                                                                         
R74        Resistor             BottomLayer 1206-RES                5855.000      5650.000      180      Resistor                                                                                         
R73        Resistor             BottomLayer 1206-RES                1200.913      4920.000      360      Resistor                                                                                         
R72        Resistor             BottomLayer 1206-RES                2091.386      4915.000      180      Resistor                                                                                         
R71        Resistor             BottomLayer 1206-RES                5595.000      5210.000      270      Resistor                                                                                         
R70        Resistor             BottomLayer 1206-RES                4035.000      5935.000      270      Resistor                                                                                         
R65        Resistor             BottomLayer 1206-RES                2400.000      2949.370      180      Resistor                                                                                         
R64        Resistor             BottomLayer 1206-RES                2285.866      3902.334      180      Resistor                                                                                         
C75F       Capacitor            BottomLayer 0603-CAP                1590.000      2045.000      180      Capacitor                                                                                        
R10D       Resistor             BottomLayer 0603-RES                6297.316      3574.252      360      Resistor                                                                                         
R10C       Resistor             BottomLayer 0603-RES                6295.000      3895.000      360      Resistor                                                                                         
R10B       Resistor             BottomLayer 0603-RES                6295.000      4250.000      360      Resistor                                                                                         
R10A       Resistor             BottomLayer 0603-RES                6295.000      4580.000      360      Resistor                                                                                         
R9D        Resistor             BottomLayer 0603-RES                5800.000      3749.863      360      Resistor                                                                                         
R9C        Resistor             BottomLayer 0603-RES                5800.000      4090.496      360      Resistor                                                                                         
R9B        Resistor             BottomLayer 0603-RES                5800.000      4421.852      360      Resistor                                                                                         
R9A        Resistor             BottomLayer 0603-RES                5740.000      4761.535      360      Resistor                                                                                         
U41        IN-PI556FCH          TopLayer    IN-PI556FCH             5145.217      2685.512      0        "LED RGB 5050 SMD"                                                                               
U40        IN-PI556FCH          TopLayer    IN-PI556FCH             4633.407      2685.512      0        "LED RGB 5050 SMD"                                                                               
U39        IN-PI556FCH          TopLayer    IN-PI556FCH             4121.596      2685.512      0        "LED RGB 5050 SMD"                                                                               
U10        IN-PI556FCH          TopLayer    IN-PI556FCH             3609.785      2685.512      0        "LED RGB 5050 SMD"                                                                               
C103       Capacitor            TopLayer    0603-CAP                3217.895      2560.472      270      Capacitor                                                                                        
C102       Capacitor            TopLayer    0603-CAP                4950.651      2652.047      90       Capacitor                                                                                        
C101       Capacitor            TopLayer    0603-CAP                4437.895      2652.047      90       Capacitor                                                                                        
C100       Capacitor            TopLayer    0603-CAP                3930.887      2656.886      90       Capacitor                                                                                        
C99        Capacitor            TopLayer    0603-CAP                3411.910      2656.886      90       Capacitor                                                                                        
U9D        LTC6820IMS#TRPBF     BottomLayer TSSOP50P490X110-16N     6023.449      3690.000      360      "IC INTERFACE SPECIALIZED 16MSOP"                                                                
U9C        LTC6820IMS#TRPBF     BottomLayer TSSOP50P490X110-16N     6023.449      4030.099      360      "IC INTERFACE SPECIALIZED 16MSOP"                                                                
U9B        LTC6820IMS#TRPBF     BottomLayer TSSOP50P490X110-16N     6023.449      4356.299      360      "IC INTERFACE SPECIALIZED 16MSOP"                                                                
U9A        LTC6820IMS#TRPBF     BottomLayer TSSOP50P490X110-16N     6023.449      4702.500      360      "IC INTERFACE SPECIALIZED 16MSOP"                                                                
T2         HX1188NLT            TopLayer    HX1188NLT               6583.386      3912.614      270      "XFRMR MAGNETIC 1PORT 1:1 10/100"                                                                
T1         HX1188NLT            TopLayer    HX1188NLT               6595.000      4476.614      270      "XFRMR MAGNETIC 1PORT 1:1 10/100"                                                                
R69        Resistor             BottomLayer 0603-RES                6263.734      3770.709      90       Resistor                                                                                         
R68        Resistor             BottomLayer 0603-RES                6263.734      4110.807      90       Resistor                                                                                         
R67        Resistor             BottomLayer 0603-RES                6263.734      4437.008      90       Resistor                                                                                         
R66        Resistor             BottomLayer 0603-RES                6263.734      4773.602      90       Resistor                                                                                         
R19D       Resistor             BottomLayer 0603-RES                6297.316      3658.543      180      Resistor                                                                                         
R19C       Resistor             BottomLayer 0603-RES                6295.000      3987.402      180      Resistor                                                                                         
R19B       Resistor             BottomLayer 0603-RES                6295.000      4318.543      180      Resistor                                                                                         
R19A       Resistor             BottomLayer 0603-RES                6295.000      4653.287      180      Resistor                                                                                         
C98D       Capacitor            BottomLayer 0603-CAP                6085.457      3825.000      360      Capacitor                                                                                        
C98C       Capacitor            BottomLayer 0603-CAP                6085.457      4155.000      360      Capacitor                                                                                        
C98B       Capacitor            BottomLayer 0603-CAP                6085.457      4495.000      360      Capacitor                                                                                        
C98A       Capacitor            BottomLayer 0603-CAP                6085.457      4835.000      360      Capacitor                                                                                        
C97D       Capacitor            BottomLayer 0603-CAP                5800.000      3820.823      360      Capacitor                                                                                        
C97C       Capacitor            BottomLayer 0603-CAP                5800.000      4169.813      360      Capacitor                                                                                        
C97B       Capacitor            BottomLayer 0603-CAP                5800.000      4504.923      360      Capacitor                                                                                        
C97A       Capacitor            BottomLayer 0603-CAP                5740.000      4827.126      360      Capacitor                                                                                        
C96        Capacitor            BottomLayer 0603-CAP                5433.028      4553.850      270      Capacitor                                                                                        
C95        Capacitor            BottomLayer 0603-CAP                5433.402      3952.312      270      Capacitor                                                                                        
U38        SMDA12CTR            BottomLayer SOIC127P600X175-8N      7480.000      6126.667      360      "TVS DIODE 12V 19V 8SO"                                                                          
U37        SMDA12CTR            BottomLayer SOIC127P600X175-8N      7480.000      5888.333      360      "TVS DIODE 12V 19V 8SO"                                                                          
U36        SMDA12CTR            BottomLayer SOIC127P600X175-8N      7480.000      6365.000      360      "TVS DIODE 12V 19V 8SO"                                                                          
U35        SMDA12CTR            BottomLayer SOIC127P600X175-8N      7480.000      5650.000      360      "TVS DIODE 12V 19V 8SO"                                                                          
U32        NUP4114HMR6T1G       BottomLayer TSOP95P280X110-6N       1396.535      3670.000      270      "TVS DIODE 5.5V 10V 6TSOP"                                                                       
U33        NUP4114HMR6T1G       TopLayer    TSOP95P280X110-6N       4575.511      6695.000      0        "TVS DIODE 5.5V 10V 6TSOP"                                                                       
U34        NUP4114HMR6T1G       TopLayer    TSOP95P280X110-6N       5290.000      6695.000      0        "TVS DIODE 5.5V 10V 6TSOP"                                                                       
U7         AM26C32              BottomLayer TSOP65P640X120-16N      5278.992      4487.126      90       "IC RCVR RS422 QUAD DIFF 16TSSOP"                                                                
U8         AM26C31              BottomLayer TSOP65P640X120-16N      5278.992      3872.659      90       "IC DRIVER 4/0 16TSSOP"                                                                          
U31E       SN74LVC8T245PWR      BottomLayer TSOP65P640X120-24N      4951.835      4511.419      360      "IC BUS TRANSCVR 8BIT 24TSSOP"                                                                   
U31F       SN74LVC8T245PWR      BottomLayer TSOP65P640X120-24N      4942.984      3911.045      360      "IC BUS TRANSCVR 8BIT 24TSSOP"                                                                   
R20        Resistor             TopLayer    0603-RES                6973.302      3702.500      0        Resistor                                                                                         
C94E       Capacitor            BottomLayer 0603-CAP                4888.134      4285.671      360      Capacitor                                                                                        
C94F       Capacitor            BottomLayer 0603-CAP                4870.150      3691.045      360      Capacitor                                                                                        
C93E       Capacitor            BottomLayer 0603-CAP                5033.803      4285.671      180      Capacitor                                                                                        
C93F       Capacitor            BottomLayer 0603-CAP                5015.819      3691.045      180      Capacitor                                                                                        
C28        Capacitor            TopLayer    0603-CAP                6389.976      2365.252      90       Capacitor                                                                                        
C29        Capacitor            TopLayer    0603-CAP                6311.734      2866.795      180      Capacitor                                                                                        
C27        Capacitor            TopLayer    0603-CAP                6389.976      2717.221      90       Capacitor                                                                                        
C30        Capacitor            TopLayer    0603-CAP                6379.646      3295.000      90       Capacitor                                                                                        
JP3        Jumper2              TopLayer    PIN_HEADER_1x2          6791.764      3402.626      270      ""                                                                                               
R14        Resistor             BottomLayer 0603-RES                6858.071      2698.567      360      Resistor                                                                                         
U4         AM26C32              TopLayer    TSOP65P640X120-16N      6559.976      2644.386      90       "IC RCVR RS422 QUAD DIFF 16TSSOP"                                                                
U5         SN74LVC8T245         TopLayer    TSOP65P640X120-24N      6545.000      3065.000      90       "IC BUS TRANSCVR 8BIT 24TSSOP"                                                                   
U6         AM26C32              TopLayer    TSOP65P640X120-16N      6559.976      2301.591      90       "IC RCVR RS422 QUAD DIFF 16TSSOP"                                                                
R17        Resistor             TopLayer    0603-RES                7270.315      3477.500      360      Resistor                                                                                         
R16        Resistor             BottomLayer 0603-RES                6858.071      2397.134      360      Resistor                                                                                         
R15        Resistor             BottomLayer 0603-RES                6858.071      2547.851      360      Resistor                                                                                         
JP2        Jumper2              TopLayer    PIN_HEADER_1x2          6569.976      3397.626      270      ""                                                                                               
U25F       TC4468               BottomLayer SOIC16_N_-_wide         1775.000      2333.465      270      "IC MOSFET DVR QUAD AND 16SOIC"                                                                  
U25E       TC4468               BottomLayer SOIC16_N_-_wide         2694.638      2333.465      270      "IC MOSFET DVR QUAD AND 16SOIC"                                                                  
U24F       SN74LVC8T245         BottomLayer TSOP65P640X120-24N      3172.307      2910.000      270      "IC BUS TRANSCVR 8BIT 24TSSOP"                                                                   
U24E       SN74LVC8T245         BottomLayer TSOP65P640X120-24N      3672.307      2910.000      270      "IC BUS TRANSCVR 8BIT 24TSSOP"                                                                   
U24D       SN74LVC8T245         BottomLayer TSOP65P640X120-24N      4172.307      2910.000      270      "IC BUS TRANSCVR 8BIT 24TSSOP"                                                                   
U24C       SN74LVC8T245         BottomLayer TSOP65P640X120-24N      4662.307      2910.000      270      "IC BUS TRANSCVR 8BIT 24TSSOP"                                                                   
U24B       SN74LVC8T245         BottomLayer TSOP65P640X120-24N      5152.307      2910.000      270      "IC BUS TRANSCVR 8BIT 24TSSOP"                                                                   
