Quantity,Supplier Part Number 1,Designator,Comment,Value,Footprint

"11","1276-1192-6-ND","C1, C51, C52, C53, C54, C55, C56, C61, C62, C63, C64","Capacitor","10uF","0603-CAP"
"14","1276-1119-6-ND","C2, C3, C4, C8, C13, C18, C22, C83, C87, C89, C90, C104, C105, C106","Capacitor","10uF","0603-CAP"
"34","1276-6524-6-ND","C5, C26, C43, C45, C57, C58, C59, C60, C72A, C72B, C72C, C72D, C72E, C72F, C75A, C75B, C75C, C75D, C75E, C75F, C82A, C82B, C84A, C84B, C85A, C85B, C88A, C88B, C91, C98, C103, C115, C116, C117","Capacitor","1uF","0603-CAP"
"45","1276-1012-6-ND","C6, C7, C9, C10, C11, C12, C14, C15, C16, C17, C19, C20, C21, C23, C31, C32, C33, C34, C65, C66, C67, C68, C69, C70, C92, C93A, C93B, C93C, C93D, C93E, C93F, C93G, C93H, C94A, C94B, C94C, C94D, C94E, C94F, C94G, C94H, C118A, C118B, C119A, C119B","Capacitor","0.1uF","0603-CAP"
"40","1276-1012-6-ND","C24, C25, C27, C28, C29, C30, C71A, C71B, C71C, C71D, C71E, C71F, C73A, C73B, C73C, C73D, C73E, C73F, C74A, C74B, C74C, C74D, C74E, C74F, C76A, C76B, C76C, C76D, C76E, C76F, C99, C100, C101, C102, C107, C110, C111, C112, C113, C114","Capacitor","100nF","0603-CAP"
"6","709-1046-6-ND","C35, C36, C41, C42, C47, C48","Capacitor","1000pF, 2kV","1808-CAP"
"6","445-3919-6-ND","C37, C38, C40, C46, C49, C95","Capacitor","6.8uF, 50V","1812-CAP"
"5","445-9015-6-ND","C39, C44, C50, C96, C97","Capacitor","10uF","0603-CAP"
"10","1276-2041-1-ND","C77A, C77B, C79A, C79B, C81A, C81B, C86A, C86B, C108, C109","Capacitor","33nF","0603-CAP"
"1","493-12786-1-ND","C78","Cap Pol1","1000uF","CAP - UVR1H102MHD1TO"
"1","493-2203-6-ND","C80","Cap Pol1","100uF","CAP - UWT1V101MCL1GS"
"1","RJSAE538004-ND","CON1","RJSAE538004","","RJSAE538004"
"4","277-1667-ND","CON2, CON3, CON4, CON5","ScrewTerminal_1x2","","1935161"
"1","L17H2220131-ND","CON6","L17H2220131","","L17H2220131"
"1","380-1110-ND","CON7","L829-1J1T-43","","L829-1J1T-43"
"6","NOR1831-ND","CON9, CON10A, CON10B, CON10C, CON10D, CON11","178-H15-513R577","","178-H15-513R577"
"1","102-5885-ND","CON13","UJ2-BH-4-TH","","UJ2-BH-4-TH"
"3","609-1693-1-ND","CON16, CON17, CON18","PicoZedCon","",""
"1","1528-1697-ND","HEATSINK1","3083","",""
"10","S9337-ND","JMP1, JMP2, JMP3, JMP4, JMP5, JMP6, JMP7, JMP8, JMP9, JMP10","JMP_SHORT","",""
"7","732-5316-ND","JP1, JP4, JP5, JP6, JP7, JP11, JP12","Jumper3","","PIN_HEADER_1X3"
"5","732-5315-ND","JP2, JP3, JP8, JP9, JP10","Jumper2","","PIN_HEADER_1x2"
"1","732-2215-6-ND","L1","CMC  744273801","","CMC 744273801"
"1","732-1696-1-ND","L2","7447709221","220uH","7447709221"
"1","160-1448-6-ND","LED1","LED","YELLOW","0603-LED"
"1","160-1447-6-ND","LED2","LED","RED","0603-LED"
"1","160-1446-6-ND","LED3","LED","GREEN","0603-LED"
"1","1286-1196-ND","M1","JTAG-SMT3-NC","","JTAG-SMT3-NC"
"2","FDV301NCT-ND","Q1, Q2","MOSFET","","SOT95P245X110-3N"
"1","SI4946CDY-T1-GE3DKR-ND","Q3","Si4946CDY","","SOIC127P600X175-8N"
"10","311-0.0ERCT-ND","R1, R9, R10, R17A, R17B, R17C, R17D, R18, R19, R20","Resistor","0R","1206-RES"
"3","311-470LDCT-ND","R2, R3, R4","Resistor","470","0603-RES"
"18","YAG3561DKR-ND","R5, R6, R7, R11, R12, R13, R14, R15, R16, R21, R60A, R60B, R61A, R61B, R62A, R62B, R63A, R63B","Resistor","100","0603-RES"
"11","P10.0KHCT-ND","R8, R38, R39, R40, R41, R42, R43, R44, R45, R97, R99","Resistor","10k","0603-RES"
"41","311-0.0ERCT-ND","R22, R23, R24, R25, R26, R27, R28, R29, R30, R31, R32, R33, R34, R35, R36, R37, R46, R57, R64, R65, R70, R71, R72, R73, R74, R75, R76, R77, R78, R79, R80, R81, R82, R95A, R95B, R95C, R95D, R96A, R96B, R96C, R96D","Resistor","0","1206-RES"
"9","311-0.0ERCT-ND","R47, R93A, R93B, R93C, R93D, R94A, R94B, R94C, R94D","Resistor","DNP","1206-RES"
"1","311-390KHRCT-ND","R55","Resistor","390k","0603-RES"
"1","311-178KHRCT-ND","R56","Resistor","178k","0603-RES"
"1","311-4.12KHRCT-ND","R58","Resistor","4k12","0603-RES"
"1","311-5.90KHRCT-ND","R59","Resistor","5k9","0603-RES"
"10","311-100KLDCT-ND","R83, R84, R85, R86, R87, R88, R89, R90, R91, R92","Resistor","100k","0603-RES"
"1","311-4.70KHRCT-ND","R98","Resistor","4k7","0603-RES"
