Altium Designer Pick and Place Locations
C:\Users\Nathan\Documents\GitHub\AMDC-Hardware\altium\Project Outputs for AMDC\Pick Place for PCB_v5.csv

========================================================================================================================
File Design Information:

Date:       25/03/21
Time:       11:23
Revision:   cc2b4190ac9858e9c54a937f2de13e7c89327883
Variant:    No variations
Units used: mil

"Designator","Comment","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description","Supplier 1","Supplier Part Number 1","Value"
"R38","Resistor","BottomLayer","0603-RES","3530.000","4780.000","90","Resistor","Digi-Key","P10.0KHCT-ND","10k"
"U8","NUP4114HMR6T1G","BottomLayer","TSOP95P280X110-6N","2785.000","6835.000","270","TVS DIODE 5.5V 10V 6TSOP","Digi-Key","NUP4114HMR6T1GOSCT-ND",""
"R21","Resistor","BottomLayer","0603-RES","2620.000","6730.000","270","Resistor","Digi-Key","YAG3561DKR-ND","100"
"C119B","Capacitor","TopLayer","0603-CAP","6410.000","4570.000","180","Capacitor","Digi-Key","1276-1012-6-ND","0.1uF"
"C119A","Capacitor","TopLayer","0603-CAP","6470.000","4755.000","180","Capacitor","Digi-Key","1276-1012-6-ND","0.1uF"
"C118B","Capacitor","TopLayer","0603-CAP","6410.000","4330.000","180","Capacitor","Digi-Key","1276-1012-6-ND","0.1uF"
"C118A","Capacitor","TopLayer","0603-CAP","6390.000","3835.000","180","Capacitor","Digi-Key","1276-1012-6-ND","0.1uF"
"C117","Capacitor","BottomLayer","0603-CAP","5535.000","4925.000","360","Capacitor","Digi-Key","1276-6524-6-ND","1uF"
"C98","Capacitor","BottomLayer","0603-CAP","5535.000","5000.000","360","Capacitor","Digi-Key","1276-6524-6-ND","1uF"
"C8","Capacitor","BottomLayer","0603-CAP","5409.944","4140.961","360","Capacitor","Digi-Key","1276-1119-6-ND","10uF"
"C9","Capacitor","BottomLayer","0603-CAP","5410.000","4215.000","360","Capacitor","Digi-Key","1276-1012-6-ND","0.1uF"
"C13","Capacitor","BottomLayer","0603-CAP","5410.000","4430.000","360","Capacitor","Digi-Key","1276-1119-6-ND","10uF"
"C14","Capacitor","BottomLayer","0603-CAP","5410.000","4505.000","360","Capacitor","Digi-Key","1276-1012-6-ND","0.1uF"
"C21","Capacitor","BottomLayer","0603-CAP","5410.000","4285.000","360","Capacitor","Digi-Key","1276-1012-6-ND","0.1uF"
"C4","Capacitor","BottomLayer","0603-CAP","5410.000","4070.000","360","Capacitor","Digi-Key","1276-1119-6-ND","10uF"
"C20","Capacitor","BottomLayer","0603-CAP","5410.000","4355.000","360","Capacitor","Digi-Key","1276-1012-6-ND","0.1uF"
"R80","Resistor","BottomLayer","1206-RES","5410.000","4600.000","180","Resistor","Digi-Key","311-0.0ERCT-ND","0"
"U18","MC78M15CDTRKG","BottomLayer","DPAK229P991X238-3N","4132.961","4320.672","90","IC REG LINEAR 15V 500MA DPAK","Digi-Key","MC78M15CDTRKGOSCT-ND",""
"U19","MC79M15CDTRKG","BottomLayer","DPAK229P991X238-3N","3737.961","4337.131","90","IC REG LINEAR -15V 500MA DPAK","Digi-Key","MC79M15CDTRKGOSCT-ND",""
"C57","Capacitor","BottomLayer","0603-CAP","4190.000","4063.900","360","Capacitor","Digi-Key","1276-6524-6-ND","1uF"
"C58","Capacitor","BottomLayer","0603-CAP","4020.000","4075.000","360","Capacitor","Digi-Key","1276-6524-6-ND","1uF"
"C59","Capacitor","BottomLayer","0603-CAP","3930.000","4199.729","270","Capacitor","Digi-Key","1276-6524-6-ND","1uF"
"C60","Capacitor","BottomLayer","0603-CAP","3570.000","4199.729","90","Capacitor","Digi-Key","1276-6524-6-ND","1uF"
"R71","Resistor","BottomLayer","1206-RES","4000.000","3990.000","360","Resistor","Digi-Key","311-0.0ERCT-ND","0"
"R74","Resistor","BottomLayer","1206-RES","3705.000","4073.900","180","Resistor","Digi-Key","311-0.0ERCT-ND","0"
"C50","Capacitor","BottomLayer","0603-CAP","1905.000","5820.000","180","Capacitor","Digi-Key","445-9015-6-ND","10uF"
"C47","Capacitor","BottomLayer","1808-CAP","1651.386","5740.000","360","Capacitor","Digi-Key","709-1046-6-ND","1000pF, 2kV"
"C48","Capacitor","BottomLayer","1808-CAP","1651.386","6310.000","360","Capacitor","Digi-Key","709-1046-6-ND","1000pF, 2kV"
"C49","Capacitor","BottomLayer","1812-CAP","1403.386","6027.480","270","Capacitor","Digi-Key","445-3919-6-ND","6.8uF, 50V"
"R43","Resistor","BottomLayer","0603-RES","1867.874","6050.996","360","Resistor","Digi-Key","P10.0KHCT-ND","10k"
"R44","Resistor","BottomLayer","0603-RES","1721.724","6050.996","360","Resistor","Digi-Key","P10.0KHCT-ND","10k"
"R45","Resistor","BottomLayer","0603-RES","1576.724","6050.996","360","Resistor","Digi-Key","P10.0KHCT-ND","10k"
"R46","Resistor","BottomLayer","1206-RES","1390.000","6450.000","360","Resistor","Digi-Key","311-0.0ERCT-ND","0"
"R47","Resistor","BottomLayer","1206-RES","1390.000","6550.000","360","Resistor","Digi-Key","311-0.0ERCT-ND","DNP"
