Quantity,Supplier Part Number,Manufacturer Part Number,Description,Designator,Value,Footprint
48,507-0ZCM0004FF2GCT-ND,0ZCM0004FF2G,PTC RESET FUSE 24V 40MA 0603,"RT1A, RT1B, RT1C, RT1D, RT2A, RT2B, RT2C, RT2D, RT3A, RT3B, RT3C, RT3D, RT4A, RT4B, RT4C, RT4D, RT5A, RT5B, RT5C, RT5D, RT6A, RT6B, RT6C, RT6D, RT7A, RT7B, RT7C, RT7D, RT8A, RT8B, RT8C, RT8D, RT9A, RT9B, RT9C, RT9D, RT10A, RT10B, RT10C, RT10D, RT11A, RT11B, RT11C, RT11D, RT12A, RT12B, RT12C, RT12D",,PTCC1607X06N
1,AES-Z7PZ-7Z030-SOM-I-G/REV-E,AES-Z7PZ-7Z030-SOM-I-G/REV-E,PicoZed SOM Module Single Core QSPI Flash ARM Cortex-A9 eMMC,PICOZED1,,
1,74AHCT1G08SE-7DICT-ND,74AHCT1G08SE-7,IC GATE AND 1CH 2-INP SOT353,U43,,SOT65P210X110-5N
4,1727-4560-1-ND,"74LVC1T45GW,125",IC TRANSLTR BIDIRECTIONAL 6TSSOP,"U3, U12, U42, U44",,SOT65P210X110-6N
6,NOR1831-ND,178-H15-513R577,CONN D-SUB RCPT 15POS R/A SLDR,"CON9, CON10A, CON10B, CON10C, CON10D, CON11",,178-H15-513R577
1,1528-1697-ND,3083,ALUM HEAT SINK FOR RASPBERRY PI,HEATSINK1,,
1,450-1662-ND,1825027-5,SWITCH TACTILE SPST-NO 0.05A 24V,SW1,,1825027-5
1,732-1696-1-ND,7447709221,FIXED IND 220UH 1.8A 300MOHM SMD,L2,220uH,7447709221
3,296-30087-1-ND,AM26C31IPWR,IC TRANSCEIVER 4/0 16TSSOP,"U33, U46, U48",,TSOP65P640X120-16N
5,296-30088-1-ND,AM26C32IPWR,IC TRANSCEIVER 0/4 16TSSOP,"U4, U6, U22, U34, U47",,TSOP65P640X120-16N
1,AP2112K-1.8TRG1DICT-ND,AP2112K-1.8TRG1,IC REG LINEAR 1.8V 600MA SOT-25,U16,,SOT95P280X145-5N
1,AP2114H-3.3TRG1DICT-ND,AP2114H-3.3TRG1,IC REG LINEAR 3.3V 1A SOT-223-3,U17,,SOT230P700X180-4N
1,493-2203-6-ND,UWT1V101MCL1GS,CAP ALUM 100UF 20% 35V SMD,C80,100uF,CAP - UWT1V101MCL1GS
1,493-12786-1-ND,UVR1H102MHD1TO,CAP ALUM 1000UF 20% 50V RADIAL,C78,1000uF,CAP - UVR1H102MHD1TO
5,445-9015-6-ND,C1608X5R1E106M080AC,CAP CER 10UF 25V X5R 0603,"C39, C44, C50, C96, C97",10uF,0603-CAP
6,445-3919-6-ND,C4532X7R1H685K250KB,CAP CER 6.8UF 50V X7R 1812,"C37, C38, C40, C46, C49, C95","6.8uF, 50V",1812-CAP
6,709-1046-6-ND,VPDP202W102K1GV001E,CAP CER 1000PF 2KV X7R 1808,"C35, C36, C41, C42, C47, C48","1000pF, 2kV",1808-CAP
10,1276-2041-1-ND,CL10B333KB8NNNC,CAP CER 0.033UF 50V X7R 0603,"C77A, C77B, C79A, C79B, C81A, C81B, C86A, C86B, C108, C109",33nF,0603-CAP
